Country,more_info,date_of_release,travel_advisory,risk_rating,text
Turkey,http://smartraveller.gov.au/Countries/europe/southern/Pages/turkey.aspx,2017-07-18 22:52:03,True,caution,Turkey overall
Turkey,http://smartraveller.gov.au/Countries/europe/southern/Pages/turkey.aspx,2017-07-18 22:52:03,True,warning,Ankara and Istanbul
Turkey,http://smartraveller.gov.au/Countries/europe/southern/Pages/turkey.aspx,2017-07-18 22:52:03,True,warning,"Provinces of Batman, Bingol, Bitlis, Gaziantep, Hakkari, Hatay, Kilis, Mardin, Sanliurfa, Siirt, Sirnak, Tunceli and Van"
Turkey,http://smartraveller.gov.au/Countries/europe/southern/Pages/turkey.aspx,2017-07-18 22:52:03,True,danger,"Areas within 10 kilometres of the border with Syria, Diyarbakir"
Turkmenistan,http://smartraveller.gov.au/Countries/asia/central/Pages/turkmenistan.aspx,2017-09-29 00:58:41,True,normal,Turkmenistan overall
Turkmenistan,http://smartraveller.gov.au/Countries/asia/central/Pages/turkmenistan.aspx,2017-09-29 00:58:41,True,danger,Turkmenistan/Afghanistan Border
Tuvalu,http://smartraveller.gov.au/Countries/pacific/Pages/tuvalu.aspx,2016-03-02 04:37:00,null,null,null
Uganda,http://smartraveller.gov.au/Countries/africa/east/Pages/uganda.aspx,2017-03-30 02:58:11,True,caution,Uganda overall
Uganda,http://smartraveller.gov.au/Countries/africa/east/Pages/uganda.aspx,2017-03-30 02:58:11,True,warning,Within 50 kilometres of the border with the Democratic Republic of the Congo
Uganda,http://smartraveller.gov.au/Countries/africa/east/Pages/uganda.aspx,2017-03-30 02:58:11,True,danger,Karamoja region 
Uganda,http://smartraveller.gov.au/Countries/africa/east/Pages/uganda.aspx,2017-03-30 02:58:11,True,danger,Within 50 kilometres of the border with South Sudan
Ukraine,http://smartraveller.gov.au/Countries/europe/eastern/Pages/ukraine.aspx,2017-06-27 01:12:50,True,caution,Ukraine overall
Ukraine,http://smartraveller.gov.au/Countries/europe/eastern/Pages/ukraine.aspx,2017-06-27 01:12:50,True,danger,Crimea
Ukraine,http://smartraveller.gov.au/Countries/europe/eastern/Pages/ukraine.aspx,2017-06-27 01:12:50,True,danger,Regions of Donetsk and Luhansk
United Arab Emirates,http://smartraveller.gov.au/Countries/middle-east/Pages/united_arab_emirates.aspx,2017-08-25 00:04:25,True,normal,United Arab Emirates overall
United Kingdom,http://smartraveller.gov.au/Countries/europe/northern/Pages/united_kingdom.aspx,2017-10-02 07:01:34,True,normal,United Kingdom overall
United States of America,http://smartraveller.gov.au/Countries/americas/north/Pages/united_states_of_america.aspx,2017-09-23 00:13:12,True,normal,United States of America overall
United States of America,http://smartraveller.gov.au/Countries/americas/north/Pages/united_states_of_america.aspx,2017-09-23 00:13:12,True,warning,US Virgin Islands and US Territory of Puerto Rico
Uruguay,http://smartraveller.gov.au/Countries/americas/south/Pages/uruguay.aspx,2017-08-03 01:36:37,True,normal,Uruguay overall
Uzbekistan,http://smartraveller.gov.au/Countries/asia/central/Pages/uzbekistan.aspx,2016-11-25 02:47:20,True,caution,Uzbekistan overall
Uzbekistan,http://smartraveller.gov.au/Countries/asia/central/Pages/uzbekistan.aspx,2016-11-25 02:47:20,True,warning,"Andijan and the eastern region of the Ferghana Valley; Regions bordering Tajikistan, Kyrgyz Republic and Afghanistan"
Vanuatu,http://smartraveller.gov.au/Countries/pacific/Pages/vanuatu.aspx,2017-09-28 10:26:25,True,normal,Vanuatu overall
Vanuatu,http://smartraveller.gov.au/Countries/pacific/Pages/vanuatu.aspx,2017-09-28 10:26:25,True,danger,Ambae island
Venezuela,http://smartraveller.gov.au/Countries/americas/south/Pages/venezuela.aspx,2017-08-04 23:07:08,True,warning,Venezuela overall
Venezuela,http://smartraveller.gov.au/Countries/americas/south/Pages/venezuela.aspx,2017-08-04 23:07:08,True,danger,Border areas with Colombia (within 80kms)
Vietnam,http://smartraveller.gov.au/Countries/asia/south-east/Pages/vietnam.aspx,2017-09-19 01:40:55,True,normal,Vietnam overall
Wallis and Futuna,http://smartraveller.gov.au/Countries/pacific/Pages/wallis_and_futuna.aspx,2016-03-02 05:07:00,null,null,null
Yemen,http://smartraveller.gov.au/Countries/middle-east/Pages/yemen.aspx,2017-07-25 07:30:16,True,danger,Yemen overall
Zambia,http://smartraveller.gov.au/Countries/africa/east/Pages/zambia.aspx,2017-07-13 07:30:30,True,normal,Zambia overall
Zambia,http://smartraveller.gov.au/Countries/africa/east/Pages/zambia.aspx,2017-07-13 07:30:30,True,warning,"Border areas with the Democratic Republic of Congo, Angola and Mozambique"
Zimbabwe,http://smartraveller.gov.au/Countries/africa/east/Pages/zimbabwe.aspx,2017-04-24 00:54:30,True,caution,Zimbabwe overall
